odfi,rdfi,transaction_count,total_dollar_value,avg_dollar_value,ach_percentage,wire_percentage,rtp_percentage,recurring_percentage,avg_settlement_days,relationship_strength
011000017,011000006,15,78534.54,5235.64,53.47,11.12,35.41,45.32,1.23,0.0015
011000002,011000007,14,182023.43,13001.67,79.64,15.99,4.38,33.87,0.75,0.0014
011000004,011000010,10,15216.87,1521.69,45.26,21.03,33.71,13.93,1.48,0.001
011000019,011000000,10,11097.47,1109.75,44.32,26.32,29.36,42.24,1.76,0.001
011000010,011000017,10,4372.09,437.21,47.16,11.06,41.78,26.27,1.22,0.001
011000001,011000018,10,7997.71,799.77,59.15,28.51,12.33,42.35,1.19,0.001
011000012,011000005,10,66549.59,6654.96,63.44,28.32,8.24,45.05,1.88,0.001
011000004,011000013,10,44461.84,4446.18,42.8,14.42,42.78,17.55,1.68,0.001
011000008,011000009,10,1000.0,100.0,62.58,24.81,12.61,45.35,0.52,0.001
011000016,011000009,10,35477.7,3547.77,68.63,11.38,19.99,22.74,1.55,0.001
011000002,011000019,10,1108.81,110.88,62.81,13.56,23.63,47.54,1.51,0.001
011000002,011000001,10,4213.81,421.38,65.0,8.89,26.11,13.28,0.75,0.001
011000014,011000012,10,26045.73,2604.57,79.83,24.67,-4.5,16.92,0.53,0.001
